time,P_turbine_1,P_total,E_total
2221.1823897702848,0.018707818945365984,0.018707818945365984,60.27840292864792
2221.5325682961825,0.018650195698485278,0.018650195698485278,60.284943915897145
2221.88274682208,0.018592658859342612,0.018592658859342612,60.29146473985179
2222.232925347978,0.018535208596937365,0.018535208596937365,60.29796543079957
2222.5831038738756,0.018477845079090057,0.018477845079090057,60.304446019087194
2222.9332823997734,0.01842056847245639,0.01842056847245639,60.31090653511992
2223.283460925671,0.018363378942556484,0.018363378942556484,60.317347009361164
2223.633639451569,0.01830627665379335,0.01830627665379335,60.323767472332115
2223.9838179774665,0.018249261769480638,0.018249261769480638,60.33016795461135
2224.3339965033642,0.018192334451863225,0.018192334451863225,60.336548486834424
2224.684175029262,0.01813549486214223,0.01813549486214223,60.34290909969354
2225.0343535551597,0.018078743160496458,0.018078743160496458,60.34924982393718
2225.3845320810574,0.018022079506111476,0.018022079506111476,60.355570690369724
2225.734710606955,0.01796550405718747,0.01796550405718747,60.36187172985113
2226.084889132853,0.017909016970964153,0.017909016970964153,60.368152973296596
2226.4350676587505,0.017852618403732194,0.017852618403732194,60.374414451676195
2226.7852461846483,0.017796308510842213,0.017796308510842213,60.380656196014584
2227.135424710546,0.017740087446713942,0.017740087446713942,60.386878237390654
2227.4856032364437,0.01768395536483752,0.01768395536483752,60.3930806069372
2227.8357817623414,0.017627912417777426,0.017627912417777426,60.3992633358406
2228.185960288239,0.017571958757164236,0.017571958757164236,60.40542645534052
2228.536138814137,0.017516094533694695,0.017516094533694695,60.411569996729526
2228.8863173400346,0.01746031989711616,0.01746031989711616,60.41769399135281
2229.2364958659323,0.017404634996214644,0.017404634996214644,60.423798470607835
2229.58667439183,0.017349039978804433,0.017349039978804433,60.42988346594397
2229.9368529177277,0.017293534991702844,0.017293534991702844,60.43594900886221
2230.2870314436254,0.017238120180714182,0.017238120180714182,60.441995130914755
2230.637209969523,0.017182795690613102,0.017182795690613102,60.44802186370469
2230.987388495421,0.017127561665121818,0.017127561665121818,60.45402923888562
